,ID,tags,text
0,NCT02564744,"34:68:cancer,72:104:cancer",Participants with a diagnosis of chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL)
1,NCT01754857,"26:60:cancer,61:93:cancer",Histologically confirmed chronic lymphocytic leukemia (CLL)/small lymphocytic lymphoma (SLL)
2,NCT02498951,"7:16:chronic_disease,22:56:chronic_disease",Known infection with human immunodeficiency virus (HIV)
3,NCT02037048,"21:30:chronic_disease,36:70:chronic_disease",Patients with known infection with human immunodeficiency virus (HIV) will not be eligible
4,NCT02004275,"15:49:chronic_disease,50:59:chronic_disease",Patients with human immunodeficiency virus (HIV) infection are eligible
5,NCT03175978,21:30:chronic_disease,Active uncontrolled infection or severe systemic infection (enrollment is possible after control of infection)
6,NCT03016130,17:26:chronic_disease,Untreated major infection at presentation
7,NCT03009110,14:23:chronic_disease,Pre-existing infection around incision site
8,NCT02978638,18:27:chronic_disease,Active untreated infection
9,NCT02737202,9:18:chronic_disease,Current infection
10,NCT02641093,1:10:chronic_disease,infection
11,NCT02594111,1:10:chronic_disease,infection (major confounder with increased inflammatory markers)
12,NCT02579967,62:71:chronic_disease,"Life-threatening, organ-threatening, or severely disfiguring infection"
13,NCT02543866,",24:33:chronic_disease",A history at least one infection due to ESC-R Enterobacteriaceae
14,NCT02540330,21:30:chronic_disease,Presence of serious infection
15,NCT02532595,8:17:chronic_disease,Recent infection
16,NCT02520011,30:39:chronic_disease,"Have an active, uncontrolled infection"
17,NCT02518594,",112:121:chronic_disease",Rupture of membranes due to likelihood of pregnancy loss and preterm delivery as well as the risk of ascending infection which could be increased with pessary placement
18,NCT02515110,57:66:chronic_disease,"Unresolved post-surgical complications (eg, significant infection) with healing difficulties"
19,NCT02514083,",,89:98:chronic_disease",Fevers of greater than 100.5 F for greater than or equal to 2 weeks without evidence of infection
20,NCT02514083,",58:67:chronic_disease",Night sweats for more than one month without evidence of infection
21,NCT02490631,9:18:chronic_disease,Current infection
22,NCT02479698,89:98:chronic_disease,Persisting fever without other signs or symptoms will not be interpreted as progressing infection
23,NCT02477423,49:58:chronic_disease,Infant must be considered to have a low risk of infection
