,ID,tags,text
0,NCT02105766,"8:16:chronic_disease,20:32:treatment",portal fibrosis by liver biopsy
1,NCT03008070,22:34:treatment,Contra-indication to liver biopsy
2,NCT03008070,",32:44:treatment,,",Have a stable weight since the liver biopsy was performed defined by no more than a 5 % loss of initial body weight
3,NCT03008070,"26:38:treatment,",Subject agrees to have a liver biopsy performed after 24 weeks of treatment
4,NCT02515708,",43:55:treatment,",Liver steatosis (on visual estimate or on liver biopsy) > 30%
5,NCT02474199,"85:97:treatment,,","For subjects with elevated liver tests as defined above, local pathology reading of liver biopsy 6-10 days after darTregs infusion is without AR according to Banff criteria"
6,NCT02474199,11:23:treatment,"Screening liver biopsy with any of the following histological criteria, as determined by the reading of a central pathologist"
7,NCT02412540,",,42:54:treatment,","Weight reduction of >5% between baseline liver biopsy and enrollment, as weight loss >5% may change NASH severity"
8,NCT02094794,"1:22:treatment,26:61:treatment,,",Echocardiogram (ECHO) or multi gated acquisition scan (MUGA): ejection fraction of >= 50%
9,NCT02257138,"85:98:treatment,116:138:treatment",patients with newly diagnosed or previously treated disease are eligible as long as prior therapy does not include hypomethylating agents
10,NCT03126110,",54:67:treatment",Has not recovered to ? Grade 1 from toxic effects of prior therapy
11,NCT03104699,"32:45:treatment,,",Persisting toxicity related to prior therapy of NCI CTCAE grade >1 severity
12,NCT03007030,13:26:treatment,Any line of prior therapy
13,NCT02942095,"28:41:treatment,,",Patient who were receiving prior therapy will require wash out period of either more than 2 weeks or more than 5 half-lives whichever shorter
14,NCT02932280,"52:65:treatment,",have recovered from the acute toxic effects of all prior therapy to ? grade 1 before entering this study
15,NCT02912572,",,42:55:treatment",Persisting Grade >=2 toxicity related to prior therapy
16,NCT02584647,11:24:treatment,Allowable prior therapy
17,NCT02553460,9:22:treatment,Limited prior therapy
18,NCT02425904,49:62:treatment,There is no limitation of amount or the type of prior therapy or drugs
19,NCT02392572,"51:64:treatment,",Persistent clinically significant toxicities from prior therapy must not be greater than grade 1
20,NCT02383927,34:47:treatment,has relapsed or is refractory to prior therapy
21,NCT02370693,",,,,58:71:treatment",Fall in FVC > 10% over 6 months on at least 12 months of prior therapy
22,NCT02340156,61:74:treatment,Radiographic demonstration of disease progression following prior therapy
23,NCT02315612,67:80:treatment,"Subjects must have recovered from the acute side effects of their prior therapy, such that eligibility criteria are met"
24,NCT02302235,",,62:75:treatment",Failure to recover from <CTCAE grade 2 toxicities related to prior therapy
25,NCT02192359,42:55:treatment,Any clinically significant toxicity from prior therapy must have improved to grade 0 or grade 1
26,NCT02159495,"39:52:treatment,","Non hematological toxicity related to prior therapy must either have returned to =< grade 2, baseline, or deemed irreversible"
27,NCT02146924,"39:52:treatment,","Non-hematological toxicity related to prior therapy must either have returned to =< grade 3, baseline, or deemed irreversible"
28,NCT02101034,",49:62:treatment",Minimum of 14 days elapsed since the end of any prior therapy
29,NCT02013336,27:40:treatment,Disease progression after prior therapy in locally advanced or metastatic setting
30,NCT01954576,"36:49:treatment,,","Recovery from the toxic effects of prior therapy to not more than grade 1 or >3 weeks from prior therapy to registration, whichever is later"
31,NCT01906385,"30:43:treatment,,",Recovered from toxicities of prior therapy to grade 0 or 1
32,NCT01896999,"5:18:treatment,",All prior therapy must have been completed at least 21 days prior to enrollment
33,NCT01865162,",,62:75:treatment",Failure to recover from <CTCAE grade 2 toxicities related to prior therapy
34,NCT01849146,35:48:treatment,recovered from severe toxicity of prior therapy
